EN,Owner,Unit name,TSO Unit ID,Fuel,Fuel calorific value [kJ/kg],Emissivity [kgCO2/MWh],Transport distance [km],Installed capacity gross [MW],Net efficiency [%],Commissioning date,Last major renovation,Capacity factor 2019 [%],SRMC 2020 [PLN/MWh],IED decomission date,Announced decomission date,Capacity contract end date,Last year before going into reserve,Proposed decommission date,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
,ZEPAK,Patnow II,PAT24-09,Lignite,8382,947,0,474,41%,2008,,54%,222.84,,2030,2024,2024,2024,52.306,18.232,,,,,,,,,,,,,,,,,,,,
Total,ZEPAK,,,Lignite,8430,1167,0,1718,34%,,,38%,270,,,,,,52.306,18.232,,,,,,,,,,,,,,,,,,,,
,ENEA,Polaniec B1,POL 1-01,Hard coal,20074,907,200,225,34%,1979,,8%,297.55,2023,2023,,2022,2022,50.438,21.337,,,,,,,,,,,,,,,,,,,,
,ENEA,Polaniec B2,POL 2-02,Hard coal,20074,907,200,242,34%,1980,2013,61%,297.55,2034,,,2022,2022,50.438,21.337,,,,,,,,,,,,,,,,,,,,
,ENEA,Polaniec B3,POL 2-03,Hard coal,20074,907,200,242,34%,1980,2014,65%,297.55,2034,,,2022,2022,50.438,21.337,,,,,,,,,,,,,,,,,,,,
,ENEA,Polaniec B4,POL 2-04,Hard coal,20074,907,200,242,34%,1981,2015,67%,297.55,2034,,,2022,2022,50.438,21.337,,,,,,,,,,,,,,,,,,,,
,ENEA,Polaniec B5,POL 4-05,Hard coal,20074,907,200,225,34%,1982,,18%,297.55,2034,,,2022,2022,50.438,21.337,,,,,,,,,,,,,,,,,,,,
,ENEA,Polaniec B6,POL 4-06,Hard coal,20074,907,200,242,34%,1982,2014,60%,297.55,2034,,2025,2025,2034,50.438,21.337,,,,,,,,,,,,,,,,,,,,
,ENEA,Polaniec B7,POL 4-07,Hard coal,20074,907,200,239,34%,1983,2013,65%,297.55,2034,,2025,2025,2034,50.438,21.337,,,,,,,,,,,,,,,,,,,,
Total,ENEA,,,Hard coal,20074,907,200,1657,34%,,,50%,298,,,,,,50.438,21.337,,,,,,,,,,,,,,,,,,,,
,PGE,Rybnik B1,RYB 1-01,Hard coal,20265,925,20,225,34%,1972,,11%,293.36,2022,2022,,2022,2022,50.133,18.524,,,,,,,,,,,,,,,,,,,,
,PGE,Rybnik B2,RYB 1-02,Hard coal,20265,925,20,225,34%,1973,,11%,293.36,2022,2022,,2022,2022,50.133,18.524,,,,,,,,,,,,,,,,,,,,
,PGE,Rybnik B3,RYB 1-03,Hard coal,20265,925,20,225,34%,1973,,47%,293.36,2022,2022,,2022,2022,50.133,18.524,,,,,,,,,,,,,,,,,,,,
,PGE,Rybnik B4,RYB 2-04,Hard coal,20265,925,20,225,34%,1974,,44%,293.36,2022,2022,,2022,2022,50.133,18.524,,,,,,,,,,,,,,,,,,,,
